DATE,Oil_price,GDP,Price_level,Maj_event,Interest_Rate,Reason for value 1
01/07/2010,74.73545455,15816.195,94.67028284,0,0.18,
01/08/2010,76.69318182,15742.36,94.75777742,0,0.19,
01/09/2010,77.78681818,15570.385,95.09494777,0,0.19,
01/10/2010,82.91809524,15447.09,95.13439342,0,0.19,
01/11/2010,85.67,15461.47,95.06498019,0,0.19,
01/12/2010,91.79652174,15191.441,94.99220355,0,0.18,
01/01/2011,96.2947619,15229.969,95.06895082,1,0.17,Bad weather
01/02/2011,103.955,15180.048,95.14540985,1,0.16,
01/03/2011,114.4413043,15152.707,94.83858318,1,0.14,
01/04/2011,123.1504762,15148.192,94.7981959,1,0.1,Libyan revolution
01/05/2011,114.4581818,15166.061,94.80232649,0,0.09,
01/06/2011,113.7577273,15171.239,94.95412088,0,0.09,
01/07/2011,116.4609524,15152.479,94.87855221,0,0.07,
01/08/2011,110.0813043,15244.807,94.98210365,0,0.1,
01/09/2011,112.4468182,15252.91,95.00059152,0,0.08,
01/10/2011,109.4690476,15452.291,95.09427883,0,0.07,
01/11/2011,110.5040909,15385.205,95.31577033,0,0.08,
01/12/2011,107.97,15300.198,95.39074656,0,0.07,
01/01/2012,110.9936364,15399.847,95.50642959,0,0.08,
01/02/2012,119.702381,15435.97,95.46103987,1,0.1,Strait of Homurz tensions
01/03/2012,124.9286364,15532.392,95.61084626,1,0.13,
01/04/2012,120.5909524,15593.251,95.83700072,0,0.14,
01/05/2012,110.5217391,15574.433,96.03828351,0,0.16,
01/06/2012,95.58904762,15649.458,96.09953587,0,0.16,
01/07/2012,103.1409091,15721.37,96.12244397,0,0.16,
01/08/2012,113.34,15690.66,96.29077746,1,0.13,Pipeline Leak
01/09/2012,113.3825,15766.975,96.43188844,1,0.14,
01/10/2012,111.9734783,15808.384,96.70227527,0,0.16,
01/11/2012,109.7118182,15761.067,96.85353772,0,0.16,
01/12/2012,109.64,15854.667,96.98212962,0,0.16,
01/01/2013,112.9286957,15714.307,97.0939884,0,0.14,
01/02/2013,116.455,15692.28,97.38560997,0,0.15,
01/03/2013,109.24,15903.115,97.55737877,0,0.14,
01/04/2013,102.8754545,15941.111,97.7619188,0,0.15,
01/05/2013,103.0269565,15869.869,98.08948913,0,0.11,
01/06/2013,103.11,15819.676,98.1157668,0,0.09,
01/07/2013,107.716087,15863.208,98.44030252,1,0.09,Revolution in Egypt
01/08/2013,110.965,15935.396,98.62281054,1,0.08,
01/09/2013,111.6214286,15813.635,98.7206187,1,0.08,
01/10/2013,109.4791304,16080.795,98.61242141,0,0.09,
01/11/2013,108.0766667,16034.943,98.77481954,0,0.08,
01/12/2013,110.6336364,16030.603,98.75270612,0,0.09,
01/01/2014,107.5704348,16081.871,99.09932878,0,0.07,
01/02/2014,108.812,16317.577,99.36003746,0,0.07,
01/03/2014,107.4057143,16140.351,99.47922098,0,0.08,
01/04/2014,107.8754545,16236.147,99.67217361,0,0.09,
01/05/2014,109.6759091,16274.642,99.67316438,1,0.09,Ukraine Tensions
01/06/2014,111.8685714,16250.355,99.79485715,1,0.1,
01/07/2014,106.9830435,16323.363,99.97706279,0,0.09,
01/08/2014,101.922381,16236.631,100.225262,0,0.09,
01/09/2014,97.33636364,16286.483,100.4869832,0,0.09,
01/10/2014,87.26956522,16216.137,100.7165446,0,0.09,
01/11/2014,78.438,16294.773,100.6869474,0,0.09,
01/12/2014,62.16304348,16389.31,100.8103161,0,0.12,
01/01/2015,48.41681818,16515.919,100.969721,0,0.11,
01/02/2015,57.9305,16371.965,101.2488429,0,0.11,
01/03/2015,55.79136364,16436.855,101.2033458,0,0.11,
01/04/2015,59.38954545,16448.996,101.2142507,0,0.12,
01/05/2015,64.56142857,16421.946,101.4090842,0,0.12,
01/06/2015,62.34590909,16522.537,101.6586032,0,0.13,
01/07/2015,55.86565217,16556.29,101.7770996,0,0.13,
01/08/2015,46.99428571,16618.409,101.9005708,0,0.14,
01/09/2015,47.23454545,16609.816,102.038692,0,0.14,
01/10/2015,48.12409091,16679.591,102.2341383,0,0.12,
01/11/2015,44.41714286,16751.098,102.5099541,0,0.12,
01/12/2015,37.72173913,16707.879,102.7991801,0,0.24,
01/01/2016,30.80333333,16606.411,102.8129665,0,0.34,
